Date,Value
2021-01-03,4859
2021-01-10,4130
2021-01-17,3470
2021-01-24,1768
2021-01-31,1533
2021-02-07,2368
2021-02-14,795
2021-02-21,115
2021-02-28,4827
2021-03-07,4464
2021-03-14,35609
2021-03-21,6189
2021-03-28,7656
2021-04-04,10402
2021-04-11,4800
2021-04-18,4224
2021-04-25,7059
2021-05-02,5264
2021-05-09,6325
2021-05-16,7767
2021-05-23,4265
2021-05-30,9823
2021-06-06,10111
2021-06-13,5567
2021-06-20,8818
2021-06-27,3729
2021-07-04,4000
2021-07-11,4801
2021-07-18,8943
2021-07-25,15522
2021-08-01,7007
2021-08-08,10447
2021-08-15,5881
2021-08-22,4537
2021-08-29,4792
2021-09-05,24191
2021-09-12,12191
2021-09-19,30691
2021-09-26,12454
2021-10-03,3665
2021-10-10,10628
2021-10-17,7200
2021-10-24,4955
2021-10-31,23437
2021-11-07,14529
2021-11-14,27256
2021-11-21,15818
2021-11-28,11338
2021-12-05,8674
2021-12-12,20421
2021-12-19,16118
2021-12-26,18606
2022-01-02,4292
2022-01-09,2859
2022-01-16,940
2022-01-23,8110
2022-01-30,2754
2022-02-06,3749
2022-02-13,2949
2022-02-20,3051
2022-02-27,6222
2022-03-06,5546
2022-03-13,16284
2022-03-20,10979
2022-03-27,2957
2022-04-03,6264
2022-04-10,8928
2022-04-17,7323
2022-04-24,11381
2022-05-01,4359
2022-05-08,8817
2022-05-15,713
2022-05-22,9293
2022-05-29,9091
2022-06-05,6847
2022-06-12,7416
2022-06-19,5097
2022-06-26,5043
2022-07-03,5072
2022-07-10,9961
2022-07-17,4024
2022-07-24,4364
2022-07-31,6582
2022-08-07,8480
2022-08-14,4258
2022-08-21,12110
2022-08-28,13582
2022-09-04,7446
2022-09-11,23470
2022-09-18,19271
2022-09-25,11356
2022-10-02,3123
2022-10-09,11376
2022-10-16,4154
2022-10-23,6263
2022-10-30,17603
2022-11-06,25109
2022-11-13,15805
2022-11-20,13255
2022-11-27,18751
2022-12-04,19672
2022-12-11,12414
2022-12-18,19573
2022-12-25,14655
2023-01-01,3910
2023-01-08,3332
2023-01-15,3300
2023-01-22,3580
2023-01-29,14932
2023-02-05,5450
2023-02-12,3893
2023-02-19,3021
2023-02-26,14257
2023-03-05,12597
2023-03-12,18253
2023-03-19,4104
2023-03-26,6373
2023-04-02,10084
2023-04-09,7283
2023-04-16,15801
2023-04-23,3357
2023-04-30,5795
2023-05-07,9203
2023-05-14,6508
2023-05-21,23949
2023-05-28,11959
2023-06-04,12155
2023-06-11,12336
2023-06-18,10166
2023-06-25,7776
2023-07-02,10809
2023-07-09,4095
2023-07-16,9972
2023-07-23,9755
2023-07-30,6496
2023-08-06,6982
2023-08-13,4501
2023-08-20,14280
2023-08-27,15961
2023-09-03,18016
2023-09-10,16679
2023-09-17,13905
2023-09-24,12363
2023-10-01,28632
2023-10-08,6548
2023-10-15,13928
2023-10-22,6683
2023-10-29,12186
2023-11-05,19992
2023-11-12,16918
2023-11-19,19676
2023-11-26,26845
2023-12-03,22049
2023-12-10,17073
2023-12-17,28195
2023-12-24,17289
2023-12-31,6397
2024-01-07,10031
2024-01-14,12215
2024-01-21,11296
2024-01-28,6887
2024-02-04,4201
2024-02-11,6602
2024-02-18,4367
2024-02-25,4746
2024-03-03,5968
2024-03-10,12219
2024-03-17,22857
2024-03-24,13253
2024-03-31,12732
2024-04-07,12491
2024-04-14,7652
2024-04-21,5646
2024-04-28,10522
2024-05-05,11111
2024-05-12,10711
2024-05-19,10787
2024-05-26,10322
2024-06-02,6117
2024-06-09,11927
2024-06-16,12045
2024-06-23,13187
2024-06-30,13351
2024-07-07,8593
2024-07-14,12630
2024-07-21,11494
2024-07-28,7260
2024-08-04,7852
2024-08-11,19033
2024-08-18,23042
2024-08-25,11585
2024-09-01,21748
2024-09-08,19489
2024-09-15,24010
2024-09-22,20333
2024-09-29,25697
2024-10-06,12259
2024-10-13,16000
2024-10-20,25911
2024-10-27,15307
2024-11-03,29398
2024-11-10,21523
2024-11-17,28975
2024-11-24,29342
2024-12-01,23863
2024-12-08,25193
2024-12-15,11349
2024-12-22,20950
2024-12-29,3820
